Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Capital Gains
2022-01-03 00:00:00-05:00,389.1149172009514,391.93297971200633,386.99895993684294,391.679443359375,40575900,0.0,0.0,0.0
2022-01-04 00:00:00-05:00,392.22554806353065,392.2645605283282,383.4983912453861,386.5992126464844,58027200,0.0,0.0,0.0
2022-01-05 00:00:00-05:00,384.9122539075164,386.0336464702579,374.4689062551625,374.7224426269531,75739800,0.0,0.0,0.0
2022-01-06 00:00:00-05:00,372.8990259695072,377.70627821124435,370.66603102709007,374.45916748046875,70814300,0.0,0.0,0.0
2022-01-07 00:00:00-05:00,374.4688419422933,376.15578101647236,368.62798390140586,370.40264892578125,72652300,0.0,0.0,0.0
2022-01-10 00:00:00-05:00,365.4882095760822,371.1633176681869,360.1153811127312,370.646484375,91770500,0.0,0.0,0.0
2022-01-11 00:00:00-05:00,369.9151068271147,376.38004530030935,367.8284016158585,376.21429443359375,68295700,0.0,0.0,0.0
2022-01-12 00:00:00-05:00,378.7885574771817,380.48525717627774,375.42446949845413,377.7062072753906,54576400,0.0,0.0,0.0
2022-01-13 00:00:00-05:00,379.0909218680422,379.77350612192356,367.3214469500737,368.2575378417969,77994000,0.0,0.0,0.0
2022-01-14 00:00:00-05:00,365.7319684702098,370.8805122336766,365.5271753703041,370.5489807128906,80121200,0.0,0.0,0.0
2022-01-18 00:00:00-05:00,364.727654753558,366.8533728528349,360.5639445252238,361.32452392578125,75450900,0.0,0.0,0.0
2022-01-19 00:00:00-05:00,362.88468448464386,365.36145518067843,357.09256854445846,357.3558654785156,81791500,0.0,0.0,0.0
2022-01-20 00:00:00-05:00,360.5834459873392,364.5618542293534,352.1780605741962,352.71435546875,88610700,0.0,0.0,0.0
2022-01-21 00:00:00-05:00,350.5203533238867,353.1628747001155,342.6512632495949,342.9340515136719,143388900,0.0,0.0,0.0
2022-01-24 00:00:00-05:00,337.29796972155805,345.16706011293047,325.83074594700173,344.50396728515625,198685800,0.0,0.0,0.0
2022-01-25 00:00:00-05:00,338.0390718156495,342.2905078911243,333.17328614629656,336.51788330078125,124398400,0.0,0.0,0.0
2022-01-26 00:00:00-05:00,344.1237217742268,347.99488320728324,332.29571355089075,335.9913635253906,146559500,0.0,0.0,0.0
2022-01-27 00:00:00-05:00,340.70107218408737,342.52451051417944,331.5838507758371,332.60772705078125,95255700,0.0,0.0,0.0
2022-01-28 00:00:00-05:00,334.4896460210948,343.25581417527985,329.5361349101255,343.0412902832031,108167900,0.0,0.0,0.0
2022-01-31 00:00:00-05:00,344.4065167497004,354.5963289506498,342.768320498041,354.0112609863281,94326400,0.0,0.0,0.0
2022-02-01 00:00:00-05:00,355.3568797695104,357.0730710579502,350.1986048645177,356.41973876953125,74433000,0.0,0.0,0.0
2022-02-02 00:00:00-05:00,360.5541961013505,360.8857276435615,355.2203800024864,359.3157958984375,78777100,0.0,0.0,0.0
2022-02-03 00:00:00-05:00,349.6038284857746,352.9191741669903,343.68494357597973,344.747802734375,95384800,0.0,0.0,0.0
2022-02-04 00:00:00-05:00,345.2645923338424,352.40235623047914,343.2071384819882,349.0967712402344,86318300,0.0,0.0,0.0
2022-02-07 00:00:00-05:00,349.69146081291944,352.0609541488417,345.03046929383225,346.2883605957031,58198100,0.0,0.0,0.0
2022-02-08 00:00:00-05:00,345.1476009258813,351.2712492613369,344.0164773788487,350.17913818359375,64720900,0.0,0.0,0.0
