Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Capital Gains
2022-01-03 00:00:00-05:00,450.5414331852414,452.0076256878553,448.2239477980202,451.87518310546875,72668200,0.0,0.0,0.0
2022-01-04 00:00:00-05:00,453.3034222075536,454.022330071982,449.8602622959905,451.7237243652344,71178700,0.0,0.0,0.0
2022-01-05 00:00:00-05:00,451.35488393612025,452.1305447371283,442.95511542561405,443.0497131347656,104538900,0.0,0.0,0.0
2022-01-06 00:00:00-05:00,442.58626049675826,445.3577975269539,440.25927789073734,442.633544921875,86858900,0.0,0.0,0.0
2022-01-07 00:00:00-05:00,442.6430311967215,443.82543054400713,439.5214795995845,440.88360595703125,85111600,0.0,0.0,0.0
2022-01-10 00:00:00-05:00,437.6768993282456,440.5524733976893,431.90678546000674,440.3349304199219,119362000,0.0,0.0,0.0
2022-01-11 00:00:00-05:00,440.07009675611505,444.44023980411635,437.0620510983953,444.34564208984375,74303100,0.0,0.0,0.0
2022-01-12 00:00:00-05:00,446.0860864554399,447.6090315640581,443.5794060432317,445.5469055175781,67605400,0.0,0.0,0.0
2022-01-13 00:00:00-05:00,446.65367438215316,447.30636106377136,438.3768798065865,439.4079284667969,91173100,0.0,0.0,0.0
2022-01-14 00:00:00-05:00,436.2486128671345,439.93769311285763,435.0283686395281,439.58770751953125,95890900,0.0,0.0,0.0
2022-01-18 00:00:00-05:00,434.8769416667024,435.08504507309425,430.6865259809416,431.8027038574219,109709100,0.0,0.0,0.0
2022-01-19 00:00:00-05:00,433.3540622278281,434.7540044741665,427.04476708624003,427.319091796875,109357600,0.0,0.0,0.0
2022-01-20 00:00:00-05:00,429.2109131132616,433.93104152080394,420.4611589616414,422.5894775390625,122379700,0.0,0.0,0.0
2022-01-21 00:00:00-05:00,421.4639422731916,423.8287413158714,414.26550784351866,414.29388427734375,202271200,0.0,0.0,0.0
2022-01-24 00:00:00-05:00,408.6655338392634,416.5639661506676,398.00503320354795,416.05316162109375,251783900,0.0,0.0,0.0
2022-01-25 00:00:00-05:00,409.6398828972748,415.9397100242834,404.0494953719495,410.9736328125,167997300,0.0,0.0,0.0
2022-01-26 00:00:00-05:00,416.88561104852806,420.02607047448777,405.6669916326692,409.94256591796875,186391100,0.0,0.0,0.0
2022-01-27 00:00:00-05:00,414.5586466067945,417.7085455157903,406.225098979547,407.91827392578125,149878300,0.0,0.0,0.0
2022-01-28 00:00:00-05:00,409.28041120998864,418.0963872077387,404.68325664580124,418.0491027832031,164457400,0.0,0.0,0.0
2022-01-31 00:00:00-05:00,417.37747913959595,425.9285988508346,416.0248212857858,425.57861328125,152251400,0.0,0.0,0.0
2022-02-01 00:00:00-05:00,426.3069072910431,429.0973807997152,422.76917831255236,428.45416259765625,123155400,0.0,0.0,0.0
2022-02-02 00:00:00-05:00,430.86628479936365,433.3445889976843,428.548770732719,432.6162414550781,117361000,0.0,0.0,0.0
2022-02-03 00:00:00-05:00,426.5623563990489,428.47310315644444,421.60571921304773,422.4476013183594,118024400,0.0,0.0,0.0
