Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2023-01-03 00:00:00-05:00,128.34379624729215,128.95457708656303,122.32460158384848,123.21122741699219,112117500,0.0,0.0
2023-01-04 00:00:00-05:00,125.00416235162118,126.7478608503369,123.22106494631889,124.48204040527344,89113600,0.0,0.0
2023-01-05 00:00:00-05:00,125.24059093401247,125.87107865122056,122.9058186898535,123.16194915771484,80962700,0.0,0.0
2023-01-06 00:00:00-05:00,124.13724683818648,128.35362894146016,123.03388952483932,127.69358825683594,87754700,0.0,0.0
2023-01-09 00:00:00-05:00,128.53093430540028,131.4272419402479,127.95955255827974,128.21568298339844,70790800,0.0,0.0
2023-01-10 00:00:00-05:00,128.32404761851848,129.3091854431004,126.21585327519355,128.7870635986328,63896200,0.0,0.0
2023-01-11 00:00:00-05:00,129.29934353146365,131.52574967331964,128.52109123972087,131.5060577392578,69458900,0.0,0.0
2023-01-12 00:00:00-05:00,131.89023146747536,132.26457354724715,129.4864932314336,131.42721557617188,71379600,0.0,0.0
2023-01-13 00:00:00-05:00,130.0677943507176,132.91484312570734,129.7032980297447,132.75721740722656,57809700,0.0,0.0
2023-01-17 00:00:00-05:00,132.82614355724837,135.24957434953774,132.1365500404185,133.91964721679688,63646600,0.0,0.0
2023-01-18 00:00:00-05:00,134.78660397065414,136.54999458059902,133.02319832869463,133.20053100585938,69672800,0.0,0.0
2023-01-19 00:00:00-05:00,132.0872662370566,134.2250132683892,131.78187595143888,133.25958251953125,58280400,0.0,0.0
2023-01-20 00:00:00-05:00,133.26946486486585,135.9687483442848,132.22522101014553,135.8209686279297,80223600,0.0,0.0
2023-01-23 00:00:00-05:00,136.06724948686616,141.18997887668803,135.85051793428082,139.0128173828125,81760300,0.0,0.0
2023-01-24 00:00:00-05:00,138.22470516633354,141.03235437334166,138.21485919822922,140.41171264648438,66435100,0.0,0.0
2023-01-25 00:00:00-05:00,138.7960933961296,140.31319931491353,136.74700453490559,139.75167846679688,65799300,0.0,0.0
2023-01-26 00:00:00-05:00,141.04221286895242,142.10616376720364,139.79108333600698,141.8204803466797,54105100,0.0,0.0
2023-01-27 00:00:00-05:00,141.03236318771044,145.04186713056833,140.95355034191297,143.7611846923828,70555800,0.0,0.0
2023-01-30 00:00:00-05:00,142.80561778514152,143.38684562469143,140.72697590646771,140.87474060058594,64015300,0.0,0.0
2023-01-31 00:00:00-05:00,140.57917270592753,142.19479823056315,140.1654165994733,142.14553833007812,65874500,0.0,0.0
2023-02-01 00:00:00-05:00,141.83029241325445,144.43105564330162,139.21968321658196,143.26858520507812,77663600,0.0,0.0
2023-02-02 00:00:00-05:00,146.6870736521922,148.9331875714321,145.96792696689582,148.57855224609375,118339000,0.0,0.0
2023-02-03 00:00:00-05:00,145.82995335488886,155.04099817815143,145.63292879315281,152.20379638671875,154357300,0.0,0.0
2023-02-06 00:00:00-05:00,150.3025182240104,150.82464018350336,148.5391127115985,149.47499084472656,69858300,0.0,0.0
2023-02-07 00:00:00-05:00,148.4011799958932,152.9229595728958,148.4011799958932,152.35157775878906,83322600,0.0,0.0
2023-02-08 00:00:00-05:00,151.5930321421785,152.28262569889247,148.9233016908853,149.6621551513672,64120100,0.0,0.0
2023-02-09 00:00:00-05:00,151.49448585654548,152.0363146392675,148.1844223308367,148.6277313232422,56007100,0.0,0.0
2023-02-10 00:00:00-05:00,147.46352995054943,149.3184067990407,147.22673043469464,148.99281311035156,57450700,0.23,0.0
2023-02-13 00:00:00-05:00,148.9336202674222,152.19940317198714,148.90402220916044,151.79489135742188,62199000,0.0,0.0
2023-02-14 00:00:00-05:00,150.08800434565288,151.7159729836762,148.84484061249728,151.15357971191406,61707600,0.0,0.0
2023-02-15 00:00:00-05:00,151.06479521662123,153.42286958750384,150.83787171493694,153.25514221191406,65573800,0.0,0.0
