Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Capital Gains
2023-01-03 00:00:00-05:00,369.481572187265,371.4617765380731,363.19488834099036,366.069091796875,74850700,0.0,0.0,0.0
2023-01-04 00:00:00-05:00,368.3376827734689,370.93311118520086,365.28086572711294,368.8952331542969,85934100,0.0,0.0,0.0
2023-01-05 00:00:00-05:00,366.9342023188302,367.04954946455626,364.08886516079207,364.6848449707031,76970500,0.0,0.0,0.0
2023-01-06 00:00:00-05:00,367.78969873225174,374.172514342468,364.71366740381876,373.0478210449219,104189600,0.0,0.0,0.0
2023-01-09 00:00:00-05:00,375.2491501630905,378.4501802079773,372.6537513181587,372.83636474609375,73978100,0.0,0.0,0.0
2023-01-10 00:00:00-05:00,372.24998822129896,375.51828438119253,371.3079376645078,375.45098876953125,65358100,0.0,0.0,0.0
2023-01-11 00:00:00-05:00,377.03710423821616,380.2765636489995,376.2200228551562,380.19964599609375,68881100,0.0,0.0,0.0
2023-01-12 00:00:00-05:00,381.30508599612347,383.05456639362137,377.2197088296472,381.5838317871094,90157700,0.0,0.0,0.0
2023-01-13 00:00:00-05:00,378.3731996428357,383.6409434482731,378.1040465628782,383.0641784667969,63903900,0.0,0.0,0.0
2023-01-17 00:00:00-05:00,383.0450378495243,384.7272522586673,381.68002810706065,382.3625183105469,62677300,0.0,0.0,0.0
2023-01-18 00:00:00-05:00,383.55450959642553,384.6215000897915,376.1239176301297,376.3257751464844,99632300,0.0,0.0,0.0
2023-01-19 00:00:00-05:00,374.27823396002685,375.93161140895137,372.25960034785896,373.5861511230469,86958900,0.0,0.0,0.0
2023-01-20 00:00:00-05:00,374.9896631618236,380.6995823616,373.33628539125715,380.5457763671875,91806400,0.0,0.0,0.0
2023-01-23 00:00:00-05:00,381.3532344202499,387.0535315568682,380.3919689603618,385.1117858886719,84178800,0.0,0.0,0.0
2023-01-24 00:00:00-05:00,383.42948708903174,385.6115486427706,382.2375275680186,384.6983642578125,59524900,0.0,0.0,0.0
2023-01-25 00:00:00-05:00,380.6129984594492,385.1790085287634,378.31556036459153,384.8425598144531,84800300,0.0,0.0,0.0
2023-01-26 00:00:00-05:00,387.5148984088141,389.2355715689227,384.53497000924045,389.0721435546875,72287400,0.0,0.0,0.0
2023-01-27 00:00:00-05:00,388.02438001546454,392.35007414970727,387.8129004621486,389.96612548828125,68346200,0.0,0.0,0.0
2023-01-30 00:00:00-05:00,387.197722229523,389.4374872178155,384.7753437893362,385.0733337402344,74202000,0.0,0.0,0.0
2023-01-31 00:00:00-05:00,385.5923626089722,390.78318947127025,385.2462918392246,390.7351379394531,86811800,0.0,0.0,0.0
2023-02-01 00:00:00-05:00,389.51431717670346,397.64664301137975,386.7651124067299,394.8877868652344,101459200,0.0,0.0,0.0
2023-02-02 00:00:00-05:00,398.79055744002517,402.1069348680651,396.8872706861001,400.6361999511719,101654500,0.0,0.0,0.0
2023-02-03 00:00:00-05:00,395.6471755772544,400.818787510041,395.1665429342146,396.37774658203125,94736800,0.0,0.0,0.0
2023-02-06 00:00:00-05:00,393.91689277739385,395.35879064421636,392.29235216726823,393.955322265625,60295300,0.0,0.0,0.0
2023-02-07 00:00:00-05:00,393.0325836517656,400.3574213852453,391.78295035245776,399.1077880859375,90990700,0.0,0.0,0.0
2023-02-08 00:00:00-05:00,397.12750912194093,398.47327457670247,394.0514486520687,394.7435607910156,76227500,0.0,0.0,0.0
2023-02-09 00:00:00-05:00,398.35794092957406,398.5117468918236,390.09105380546026,391.32147216796875,78694900,0.0,0.0,0.0
2023-02-10 00:00:00-05:00,390.13916034833926,392.6192415030363,389.3221082284389,392.2347412109375,70769700,0.0,0.0,0.0
2023-02-13 00:00:00-05:00,392.8883857479932,396.9737635969899,392.42696780662374,396.83917236328125,64913500,0.0,0.0,0.0
2023-02-14 00:00:00-05:00,395.31079060743565,398.9732095911578,392.68655472796934,396.6565856933594,88389300,0.0,0.0,0.0
2023-02-15 00:00:00-05:00,394.45521294070613,398.02149891037635,393.6092948018598,397.9446105957031,61555700,0.0,0.0,0.0
2023-02-16 00:00:00-05:00,392.95561719800986,396.91602520771124,392.33080067258373,392.4653625488281,76431500,0.0,0.0,0.0
2023-02-17 00:00:00-05:00,390.3314246237872,391.72527118315116,388.399271789129,391.4849548339844,89257800,0.0,0.0,0.0
2023-02-21 00:00:00-05:00,387.44754107642,388.5049386414419,383.371786100865,383.6313171386719,82655900,0.0,0.0,0.0
2023-02-22 00:00:00-05:00,384.04471289617135,385.59236532715204,381.6415495785843,383.1026916503906,83742300,0.0,0.0,0.0
2023-02-23 00:00:00-05:00,386.005727465885,386.6209513962091,380.9014105944118,385.1405944824219,96242400,0.0,0.0,0.0
2023-02-24 00:00:00-05:00,380.103591101692,381.86269393959924,378.3925398013232,381.0263977050781,108194400,0.0,0.0,0.0
2023-02-27 00:00:00-05:00,384.381158691797,385.7461683533758,381.3820155880344,382.3240661621094,80444700,0.0,0.0,0.0
2023-02-28 00:00:00-05:00,381.8434392898417,383.81402149088365,380.8052563009639,380.9110107421875,96438600,0.0,0.0,0.0
2023-03-01 00:00:00-05:00,380.09388971599026,381.3243080421548,378.1425224642881,379.4498291015625,99706800,0.0,0.0,0.0
2023-03-02 00:00:00-05:00,377.46967446922514,383.2468886693395,377.1332257261761,382.4009704589844,85127800,0.0,0.0,0.0
2023-03-03 00:00:00-05:00,384.22736466723944,388.7837823723887,383.5737112700418,388.5338439941406,90120000,0.0,0.0,0.0
2023-03-06 00:00:00-05:00,389.3605300454294,391.6675904235153,388.3608351727829,388.8030090332031,72795900,0.0,0.0,0.0
2023-03-07 00:00:00-05:00,388.75494500797566,388.9952613450141,382.22794508007405,382.8431396484375,108310600,0.0,0.0,0.0
2023-03-08 00:00:00-05:00,382.95851759749536,384.2273655669412,381.228222362903,383.4679870605469,74746600,0.0,0.0,0.0
2023-03-09 00:00:00-05:00,384.2562101022739,385.9288317963225,375.4029642473178,376.39306640625,111945300,0.0,0.0,0.0
2023-03-10 00:00:00-05:00,375.8451291239822,377.9310878372953,369.43350567904514,370.9619140625,189253000,0.0,0.0,0.0
2023-03-13 00:00:00-04:00,367.0207168016272,375.2683898395796,365.9056454879313,370.4331970214844,157790000,0.0,0.0,0.0
2023-03-14 00:00:00-04:00,375.37409066804696,378.2098349693888,372.05771372820567,376.55645751953125,149752400,0.0,0.0,0.0
2023-03-15 00:00:00-04:00,370.9427111182641,374.4032430136639,368.84713029743835,374.2013854980469,172996900,0.0,0.0,0.0
2023-03-16 00:00:00-04:00,371.8366809364042,381.1128859764341,371.327211458966,380.7668151855469,143254200,0.0,0.0,0.0
2023-03-17 00:00:00-04:00,379.43138394137793,380.56999909987053,374.925128785462,376.31463623046875,140553400,1.506,0.0,0.0
2023-03-20 00:00:00-04:00,377.09616685031443,380.34801891979464,376.3917839300492,379.9330749511719,93055800,0.0,0.0,0.0
2023-03-21 00:00:00-04:00,383.31039166596554,385.4043115062477,381.70859761316973,384.9218444824219,91524200,0.0,0.0,0.0
2023-03-22 00:00:00-04:00,384.7481168502928,388.3762484060382,378.3216533371149,378.3602294921875,111746600,0.0,0.0,0.0
2023-03-23 00:00:00-04:00,381.23574381783914,385.2884781128937,376.6619664014507,379.3830871582031,119351300,0.0,0.0,0.0
2023-03-24 00:00:00-04:00,378.0997846947485,381.9595212017763,375.74534306966535,381.8726806640625,107682400,0.0,0.0,0.0
2023-03-27 00:00:00-04:00,384.15954768698845,384.9315126123636,381.6893188206897,382.5867004394531,74010400,0.0,0.0,0.0
2023-03-28 00:00:00-04:00,381.89189703603546,382.5866506547417,379.88484738613244,381.7278747558594,62871700,0.0,0.0,0.0
2023-03-29 00:00:00-04:00,385.9060563665928,387.5175091402753,384.69988883904426,387.2762756347656,77497900,0.0,0.0,0.0
2023-03-30 00:00:00-04:00,389.92019324080144,390.1710855147399,387.67190988130295,389.54388427734375,69840000,0.0,0.0,0.0
2023-03-31 00:00:00-04:00,390.4702141593181,395.3334899911043,390.3640561017006,395.03436279296875,112062600,0.0,0.0,0.0
2023-04-03 00:00:00-04:00,394.51327502786114,396.94489812673964,394.1176485509198,396.5396423339844,67391100,0.0,0.0,0.0
2023-04-04 00:00:00-04:00,397.18613730495184,397.47563517993467,392.95972157826725,394.339599609375,66601500,0.0,0.0,0.0
2023-04-05 00:00:00-04:00,393.60625610917623,394.36856226217395,391.6474411444736,393.30712890625,65200200,0.0,0.0,0.0
2023-04-06 00:00:00-04:00,392.50618591410193,395.12117821186206,391.4544114056551,394.8413391113281,63743300,0.0,0.0,0.0
2023-04-10 00:00:00-04:00,392.35184076274294,395.323854285077,391.73429825063636,395.24664306640625,63681000,0.0,0.0,0.0
2023-04-11 00:00:00-04:00,395.873825281643,396.76154805541603,394.58081727814005,395.3527526855469,59297900,0.0,0.0,0.0
2023-04-12 00:00:00-04:00,397.4273573961428,397.7168552613543,393.1527068916333,393.7413024902344,86420400,0.0,0.0,0.0
2023-04-13 00:00:00-04:00,394.83173783881375,399.32833439089336,393.6834638753183,398.9713134765625,85814800,0.0,0.0,0.0
